,Year,Country Name,Country Code,"Compulsory education, duration (years)","Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Weighted World Education
170,2016,Chile,CHL,0.7058823529411765,0.3953337100699264,0.450750265352466,2.8488005691384273
171,2017,Chile,CHL,0.7058823529411765,0.4010801781996551,0.454075593612101,2.87026949017679
172,2018,Chile,CHL,0.7058823529411765,0.40207996287119013,0.4555240088407749,2.8766143052058815
173,2019,Chile,CHL,0.7058823529411765,0.40545308927182205,0.45791088058492935,2.8905211732396086
174,2020,Chile,CHL,0.7058823529411765,0.4088262156724539,0.4602977523290838,2.904428041273336
175,2016,China,CHN,0.5294117647058824,0.28074561944903736,0.2614219819860247,1.8751689495620312
176,2017,China,CHN,0.5294117647058824,0.27140843801042164,0.258987501632674,1.8491911456247476
177,2018,China,CHN,0.5294117647058824,0.26216081796868357,0.24397469668459604,1.7856574906970377
178,2019,China,CHN,0.5294117647058824,0.25286841722850667,0.23525105403388172,1.7409017612645408
179,2020,China,CHN,0.5294117647058824,0.24357601648832974,0.22652741138316743,1.6961460318320443
180,2016,Colombia,COL,0.7058823529411765,0.33133446975383163,0.3180469058793036,2.3226920100867505
181,2017,Colombia,COL,0.7058823529411765,0.33564894360250386,0.3295854812070146,2.365936683767228
182,2018,Colombia,COL,0.7058823529411765,0.32925419634667136,0.2735162146022978,2.184939389441413
183,2019,Colombia,COL,0.7058823529411765,0.3334813319537064,0.3012017485831412,2.2764502625980128
184,2020,Colombia,COL,0.7058823529411765,0.334196952686998,0.295586696151087,2.261036346768434
185,2016,"Congo, Dem. Rep.",COD,0.35294117647058826,0.15679296376306365,0.3118302943882329,1.6020179871614142
186,2017,"Congo, Dem. Rep.",COD,0.35294117647058826,0.10767309857237413,0.298428481059007,1.4635728167923576
187,2018,"Congo, Dem. Rep.",COD,0.35294117647058826,0.058553233381684604,0.2850266677297811,1.3251276464233008
188,2019,"Congo, Dem. Rep.",COD,0.35294117647058826,0.009433368190995085,0.27162485440055517,1.186682476054244
189,2020,"Congo, Dem. Rep.",COD,0.35294117647058826,-0.03968649699969443,0.25822304107132926,1.048237305685187
190,2016,"Congo, Rep.",COG,0.5882352941176471,0.3855488275114539,0.2423044736974946,2.086246370233039
191,2017,"Congo, Rep.",COG,0.5882352941176471,0.3288005315246589,0.33420963247129026,2.248465254580836
192,2018,"Congo, Rep.",COG,0.5882352941176471,0.22212281542355927,0.3320156944635112,2.0285280083552992
193,2019,"Congo, Rep.",COG,0.5882352941176471,0.2884702193534344,0.35505935856837617,2.2303538085296446
194,2020,"Congo, Rep.",COG,0.5882352941176471,0.25611068330076125,0.36398104531193687,2.19239979665498
195,2016,Costa Rica,CRI,0.7647058823529411,0.510185262231041,0.4990675783786457,3.2822791419509603
196,2017,Costa Rica,CRI,0.7647058823529411,0.5231989778285075,0.6424227291750039,3.738372025534968
197,2018,Costa Rica,CRI,0.7647058823529411,0.50168285794158,0.5558169186245135,3.435522354109642
198,2019,Costa Rica,CRI,0.7647058823529411,0.5038822995273287,0.5230973076081853,3.3417624042321545
199,2020,Costa Rica,CRI,0.7647058823529411,0.4992547842477237,0.4589319968623441,3.140011441435421
200,2016,Cote d'Ivoire,CIV,0.5882352941176471,0.2939702524890341,0.47700250181920756,2.6071833045533377
201,2017,Cote d'Ivoire,CIV,0.5882352941176471,0.2814752907587105,0.43962866666552947,2.4700718756316564
202,2018,Cote d'Ivoire,CIV,0.5882352941176471,0.23977069812226653,0.3896773806560081,2.2368088323302047
203,2019,Cote d'Ivoire,CIV,0.5882352941176471,0.27384690407282747,0.37029886827650943,2.2468257070928304
204,2020,Cote d'Ivoire,CIV,0.5882352941176471,0.26713912126742523,0.32134921213543,2.0865611730587874
205,2016,Croatia,HRV,0.47058823529411764,0.28903782970362674,0.18406110092561914,1.6008471974782288
206,2017,Croatia,HRV,0.47058823529411764,0.28903782970362674,0.18406110092561914,1.6008471974782288
207,2018,Croatia,HRV,0.47058823529411764,0.28903782970362674,0.18406110092561914,1.6008471974782288
208,2019,Croatia,HRV,0.47058823529411764,0.28903782970362674,0.18406110092561914,1.6008471974782288
209,2020,Croatia,HRV,0.47058823529411764,0.28903782970362674,0.18406110092561914,1.6008471974782288
210,2016,Cyprus,CYP,0.5882352941176471,0.4547890680893165,0.34948665199273066,2.546273386274472
211,2017,Cyprus,CYP,0.5882352941176471,0.42583547056186055,0.33406390095393723,2.44209793810318
212,2018,Cyprus,CYP,0.5882352941176471,0.39688187303440453,0.3186411499151438,2.337922489931888
213,2019,Cyprus,CYP,0.5882352941176471,0.36792827550694857,0.30321839887635044,2.2337470417605956
214,2020,Cyprus,CYP,0.5882352941176471,0.33897467797949254,0.287795647837557,2.1295715935893034
215,2016,Czech Republic,CZE,0.5294117647058824,0.4110019788904704,0.29768423840895963,2.244468437713702
216,2017,Czech Republic,CZE,0.5294117647058824,0.2816736279656271,0.2080284086240227,1.7168442465092046
217,2018,Czech Republic,CZE,0.5294117647058824,0.31577203018042616,0.22397168452060662,1.8328708786285546
218,2019,Czech Republic,CZE,0.5294117647058824,0.26815705582540406,0.1871154075764301,1.6270720990859808
219,2020,Czech Republic,CZE,0.5294117647058824,0.2205420814703819,0.15025913063225363,1.421273319543407
220,2016,Denmark,DNK,0.5882352941176471,0.5737167930301049,0.3267642799615441,2.7159617200624893
221,2017,Denmark,DNK,0.5882352941176471,0.5737167930301049,0.3267642799615441,2.7159617200624893
222,2018,Denmark,DNK,0.5882352941176471,0.5737167930301049,0.3267642799615441,2.7159617200624893
223,2019,Denmark,DNK,0.5882352941176471,0.5737167930301049,0.3267642799615441,2.7159617200624893
224,2020,Denmark,DNK,0.5882352941176471,0.5737167930301049,0.3267642799615441,2.7159617200624893
225,2016,Djibouti,DJI,0.5882352941176471,0.2904232083009649,0.2558599025134996,1.9366614182600759
226,2017,Djibouti,DJI,0.5882352941176471,0.277410957162904,0.28241191269406213,1.9902929465256416
227,2018,Djibouti,DJI,0.5882352941176471,0.26846970908637446,0.2981112325675893,2.019508409993164
228,2019,Djibouti,DJI,0.5882352941176471,0.25749295947907924,0.3192368975946342,2.060931905859708
229,2020,Djibouti,DJI,0.5882352941176471,0.246516209871784,0.3403625626216791,2.1023554017262525
230,2016,Dominica,DMA,0.7058823529411765,0.37962327187614714,0.2705526955169571,2.2767869832443424
231,2017,Dominica,DMA,0.7058823529411765,0.35276176929562864,0.20846135639873986,2.0367899607286533
232,2018,Dominica,DMA,0.7058823529411765,0.4123207334069162,0.17995170377862435,2.070378931090882
233,2019,Dominica,DMA,0.7058823529411765,0.4123251797173993,0.17680813352550748,2.0609571129524977
234,2020,Dominica,DMA,0.7058823529411765,0.3698849697132151,0.227259279452337,2.1274301307246177
235,2016,Dominican Republic,DOM,0.8823529411764706,0.2849550051023173,0.4675764848663974,2.8549924059802976
236,2017,Dominican Republic,DOM,0.8823529411764706,0.2901183007951626,0.4760650003206428,2.8907845437287243
237,2018,Dominican Republic,DOM,0.8823529411764706,0.2907266160591839,0.47205661145206046,2.87997600765102
238,2019,Dominican Republic,DOM,0.8823529411764706,0.2991838691243329,0.47602050059629786,2.90878218121403
239,2020,Dominican Republic,DOM,0.8823529411764706,0.30392682379833813,0.41170389078768094,2.7253182611361897
240,2016,Early-demographic dividend,EAR,0.5882352941176471,0.29543960812901304,0.36124477961338913,2.2628488492158407
241,2017,Early-demographic dividend,EAR,0.5882352941176471,0.32248941725172686,0.36505438272705254,2.3283772768022586
242,2018,Early-demographic dividend,EAR,0.5882352941176471,0.29451972471550847,0.32812085101029137,2.161637296579538
243,2019,Early-demographic dividend,EAR,0.5882352941176471,0.2639343400627185,0.308166849501607,2.040604522747905
244,2020,Early-demographic dividend,EAR,0.5882352941176471,0.25343258404062036,0.290474206131013,1.966523080591927
245,2016,East Asia & Pacific,EAS,0.5294117647058824,0.30070763031342035,0.3455560055649441,2.1674950420275554
246,2017,East Asia & Pacific,EAS,0.5294117647058824,0.3023490422894236,0.3215886978665412,2.0988759428843533
247,2018,East Asia & Pacific,EAS,0.5294117647058824,0.25416942179119845,0.3183975088444741,1.9929431348217013
248,2019,East Asia & Pacific,EAS,0.5294117647058824,0.2309003175300875,0.3048182604842391,1.9056671812187744
249,2020,East Asia & Pacific,EAS,0.5294117647058824,0.20763121326897657,0.2912390121240041,1.818391227615848
250,2016,East Asia & Pacific (IDA & IBRD countries),TEA,0.5294117647058824,0.28074561944903736,0.3324865787612206,2.088362739887619
251,2017,East Asia & Pacific (IDA & IBRD countries),TEA,0.5294117647058824,0.2868787401499226,0.2955116155659467,1.9897040917035675
252,2018,East Asia & Pacific (IDA & IBRD countries),TEA,0.5294117647058824,0.23186404650530243,0.3086741666786569,1.919162357752458
253,2019,East Asia & Pacific (IDA & IBRD countries),TEA,0.5294117647058824,0.23935849690992006,0.3482387649168559,2.05284505327629
254,2020,East Asia & Pacific (IDA & IBRD countries),TEA,0.5294117647058824,0.22556278939688093,0.35348949363540094,2.041005824405847
255,2016,East Asia & Pacific (excluding high income),EAP,0.5294117647058824,0.28074561944903736,0.3324865787612206,2.088362739887619
256,2017,East Asia & Pacific (excluding high income),EAP,0.5294117647058824,0.2868787401499226,0.2955116155659467,1.9897040917035675
257,2018,East Asia & Pacific (excluding high income),EAP,0.5294117647058824,0.23186404650530243,0.3086741666786569,1.919162357752458
258,2019,East Asia & Pacific (excluding high income),EAP,0.5294117647058824,0.23935849690992006,0.296767960637375,1.8984326404378473
259,2020,East Asia & Pacific (excluding high income),EAP,0.5294117647058824,0.22556278939688093,0.2848617545960931,1.8351226072879236
260,2016,Ecuador,ECU,0.8823529411764706,0.32286389540132193,0.2571996693284429,2.2996797399644433
261,2017,Ecuador,ECU,0.8823529411764706,0.3414768215598911,0.2539832333166487,2.327256284246199
262,2018,Ecuador,ECU,0.8823529411764706,0.3420096377661424,0.2507667973048545,2.318672608623319
263,2019,Ecuador,ECU,0.8823529411764706,0.31271857938827347,0.24755036129306027,2.2504411838321983
264,2020,Ecuador,ECU,0.8823529411764706,0.3059449429605414,0.24433392528126607,2.2272446029413517
265,2016,El Salvador,SLV,0.8823529411764706,0.283085631493598,0.2977451766159515,2.341759734011521
266,2017,El Salvador,SLV,0.8823529411764706,0.2756844301005054,0.286882468791063,2.2943692077506705
267,2018,El Salvador,SLV,0.8823529411764706,0.26684235944947887,0.28319600190093064,2.26562566577822
