,Year,Country Name,Country Code,Life Expectancy at birth (total years),"Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Weighted World Death
46,2017,Armenia,ARM,0.8853325904263157,0.12597547380156077,0.14823008849557523,0.09746738296239446,-0.20117815451310916
47,2018,Armenia,ARM,0.8870843882709231,0.12040133779264214,0.1415929203539823,0.0928626247122026,-0.1499475472251185
48,2019,Armenia,ARM,0.8887651672839924,0.11371237458193979,0.1327433628318584,0.08825786646201074,-0.08992113622350528
49,2020,Armenia,ARM,0.8906945122074449,0.10813823857302117,0.1261061946902655,0.08365310821181887,-0.038512981856669404
50,2016,Australia,AUS,0.9759026753313501,0.03567447045707915,0.050884955752212385,0.029163468917881807,0.6352449914890275
51,2017,Australia,AUS,0.9765089336493583,0.03567447045707915,0.050884955752212385,0.029163468917881807,0.6358512498070357
52,2018,Australia,AUS,0.9794536169082568,0.03567447045707915,0.050884955752212385,0.028396009209516498,0.6418657718993954
53,2019,Australia,AUS,0.9812435224185674,0.03567447045707915,0.053097345132743355,0.028396009209516498,0.637018509268113
54,2020,Australia,AUS,0.983610816803172,0.03455964325529543,0.053097345132743355,0.028396009209516498,0.6416154580562851
55,2016,Austria,AUT,0.9663468894617885,0.033444816053511704,0.048672566371681415,0.02762854950115119,0.642925360235116
56,2017,Austria,AUT,0.9663757589055026,0.03232998885172798,0.048672566371681415,0.02762854950115119,0.6451838840823977
57,2018,Austria,AUT,0.9669531477797967,0.03232998885172798,0.048672566371681415,0.02762854950115119,0.6457612729566917
58,2019,Austria,AUT,0.9681367949720989,0.03232998885172798,0.050884955752212385,0.02762854950115119,0.6403077520074011
59,2020,Austria,AUT,0.967559406097805,0.033444816053511704,0.050884955752212385,0.02762854950115119,0.6375007087295397
60,2016,Azerbaijan,AZE,0.8580613591156718,0.24303232998885174,0.27654867256637167,0.18802762854950114,-1.2097598327591512
61,2017,Azerbaijan,AZE,0.8604286535002764,0.22630992196209587,0.25884955752212385,0.17498081350729086,-1.0686631170194505
62,2018,Azerbaijan,AZE,0.8624526901991133,0.2140468227424749,0.2411504424778761,0.16500383729854182,-0.9491076319136319
63,2019,Azerbaijan,AZE,0.8641216327402594,0.20289855072463767,0.23008849557522124,0.1565617805065234,-0.8581880774607733
64,2020,Azerbaijan,AZE,0.8661417239484552,0.19286510590858416,0.2168141592920354,0.14888718342287027,-0.7655796994363004
